Name,Price,Brand,Model,Size,Length (mm),Width (mm),Height (mm),Weight (grams),Shape,Hand compatibility,Hump placement,Front flare,Side curvature,Thumb rest,Ring finger rest,Sensor,Sensor type,Sensor position,DPI,Polling rate (Hz),Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons,Hot-swap switches,Switches,Scroll wheel encoder,Material,Connectivity,Sensor brand,Switches brand,Scroll wheel encoder brand,Price_Currency,Price_URL,Price_Confidence,Price_Title
Kysona M600,41.99,Kysona,M600,Medium,118.3,61.8,39.6,55,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,Centered (53%),26000,1000,650,50,2,0,No,Transparent Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified,USD,,0.5,
Delux M800 Ultra,59.99,Delux,M800 Ultra,Medium,124,64,38,49,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3395,Optical,Forward (57%),26000,4000,650,50,2,0,No,Transparent Blue Shell Pink Dot,Encoder,Plastic,Wireless,PixArt,Huano,F-Switch,USD,,0.5,
Razer Viper V2 Pro,74.95,Razer,Viper V2 Pro,Large,126.7,66,37.8,59,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,Focus Pro 30K,Optical,Centered (51%),30000,4000,750,70,2,0,No,Optical Mouse Switches Gen-3,Black,Plastic,Wireless,Razer,Razer,Kailh,USD,,0.5,
LAMZU Atlantis Mini 4K,101.99,LAMZU,Atlantis Mini 4K,Small,116.9,63.1,37,49,Symmetrical,Right,Back - moderate,Outward - slight,Inward - aggressive,No,No,PAW3395,Optical,Forward (55%),26000,4000,650,50,2,0,No,Transparent Blue Shell Pink Dot,Silver,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
LAMZU Atlantis OG V2 4K,101.99,LAMZU,Atlantis OG V2 4K,Medium,123,66,38,55,Symmetrical,Right,Back - moderate,Outward - slight,Inward - aggressive,No,No,PAW3395,Optical,Forward (58%),26000,4000,650,50,2,0,No,Transparent Blue Shell Pink Dot,Silver,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
Endgame Gear OP1we,79,Endgame,Gear OP1we,Small,118.2,60.5,37.2,58.5,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3370,Optical,Forward (54%),19000,1000,400,50,2,0,Yes,GO,Silver,Plastic,Wireless,PixArt,Kailh,TTC,USD,,0.5,
Endgame Gear OP1 RGB,49.99,Endgame,Gear OP1 RGB,Small,118.2,60.5,37.2,51.5,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395,Optical,Forward (54%),26000,1000,650,50,2,0,Yes,GX,Silver,Plastic,Wired,PixArt,Kailh,TTC,USD,,0.5,
Endgame Gear OP1,49.99,Endgame,Gear OP1,Small,118.2,60.5,37.2,50.5,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395,Optical,Forward (54%),26000,1000,650,50,2,0,Yes,GX,Silver,Plastic,Wired,PixArt,Kailh,TTC,USD,,0.5,
LAMZU MAYA,155.99,LAMZU,MAYA,Medium,119,62,38,45,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (54%),26000,1000,650,50,2,0,No,Transparent Blue Shell Pink Dot,Silver,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
LAMZU Atlantis OG V2,101.99,LAMZU,Atlantis OG V2,Medium,123,66,38,55,Symmetrical,Right,Back - moderate,Outward - slight,Inward - aggressive,No,No,PAW3395,Optical,Forward (58%),26000,1000,650,50,2,0,No,Blue Shell Pink Dot,Silver,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
LAMZU Thorn,96.99,LAMZU,Thorn,Medium,119,65,42,52,Ergonomic,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (54%),26000,1000,650,50,2,0,No,Optical,Silver,Plastic,Wireless,PixArt,RAESHA,TTC,USD,,0.5,
Razer DeathAdder V3,52.99,Razer,DeathAdder V3,Large,128,68,44,59,Ergonomic,Right,Center,Outward - slight,Inward,No,No,Focus Pro 30K,Optical,Centered (51%),30000,8000,750,70,2,0,No,Optical Mouse Switches Gen-3,Black,Plastic,Wired,Razer,Razer,Kailh,USD,,0.5,
VGN Dragonfly F1 Pro,39.99,VGN,Dragonfly F1 Pro,Medium,121.2,63.8,37.6,49,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3395,Optical,Forward (54%),26000,4000,650,50,2,0,No,GM 8.0 Blue,Silver Kailh GE 2.0,Plastic,Wireless,PixArt,Kailh,TTC,USD,,0.5,
Endgame Gear XM2we,79.99,Endgame,Gear XM2we,Medium,122,66,38.5,63,Symmetrical,Right,Back - moderate,Outward - slight,Inward - aggressive,No,No,PAW3370,Optical,Forward (56%),19000,1000,400,50,2,0,No,GO,Silver,Plastic,Wireless,PixArt,Kailh,TTC,USD,,0.5,
Darmoshark N3,41.99,Darmoshark,N3,Medium,123,66,40,61,Ergonomic,Right,Back - minimal,Outward - moderate,Flat,No,No,PAW3395,Optical,Centered (49%),26000,1000,650,50,2,2,No,GM 8.0,Gold,Plastic,Wireless,PixArt,Kailh,TTC,USD,,0.5,
Razer Viper Mini Signature Edition,155.99,Razer,Viper Mini Signature Edition,Medium,119,62,39,49,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,Focus Pro 30K,Optical,Centered (53%),30000,8000,750,70,2,0,No,Optical Mouse Switches Gen-3,Silver,Magnesium (metal),Wireless,Razer,Razer,RAESHA,USD,,0.5,
Darmoshark M3,39.99,Darmoshark,M3,Large,129.6,66.1,39.2,58,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (50%),26000,2000,650,50,2,0,No,GM 8.0,Encoder,Plastic,Wireless,PixArt,Kailh,F-Switch,USD,,0.5,
G-Wolves HTS Plus 4K,154.4,G-Wolves,HTS Plus 4K,Small,117,61,40,49,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3399,Optical,Forward (58%),20000,4000,650,50,2,1,No,DF3-P1L1,Gold,Plastic,Wireless,PixArt,Zippy,TTC,USD,,0.5,
LAMZU Atlantis Mini,101.99,LAMZU,Atlantis Mini,Small,116.9,63.1,37,49,Symmetrical,Right,Back - moderate,Outward - slight,Inward - aggressive,No,No,PAW3395,Optical,Forward (55%),19000,1000,650,50,2,0,No,Transparent Blue Shell Pink Dot,Silver,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
LAMZU Atlantis,101.99,LAMZU,Atlantis,Medium,123,66,38,55,Symmetrical,Right,Back - moderate,Outward - slight,Inward - aggressive,No,No,PAW3395,Optical,Forward (58%),26000,1000,650,50,2,0,No,Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
Razer DeathAdder V3 Pro,99.99,Razer,DeathAdder V3 Pro,Large,128,68,44,63,Ergonomic,Right,Center,Outward - slight,Inward,No,No,Focus Pro 30K,Optical,Centered (51%),30000,8000,750,70,2,0,No,Optical Mouse Switches Gen-3,Yellow,Plastic,Wireless,Razer,Razer,RAESHA,USD,,0.5,
Fantech Aria XD7,63.99,Fantech,Aria XD7,Small,113.5,65,38.3,59,Symmetrical,Right,Back - minimal,Inward - moderate,Inward,No,No,PAW3395,Optical,Forward (54%),26000,1000,650,50,2,0,No,Transparent Blue Shell Pink Dot Kailh GM 8.0,Gold,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
Pulsar X2 Mini,99.95,Pulsar,X2 Mini,Small,116,61,37,52,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395,Optical,Forward (55%),26000,1000,650,50,2,0,No,GM 8.0,Gold,Plastic,Wireless,PixArt,Kailh,TTC,USD,,0.5,
Pulsar X2,129.95,Pulsar,X2,Medium,120,63,38,56,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395,Optical,Forward (55%),26000,1000,650,50,2,0,No,GM 8.0,Gold,Plastic,Wireless,PixArt,Kailh,TTC,USD,,0.5,
Glorious Model O- Wireless,79.99,Glorious,Model O- Wireless,Medium,120,63,36,65,Symmetrical,Right,Center,Outward - slight,Inward,No,No,BAMF,Optical,Forward (55%),19000,1000,400,50,2,1,No,Mouse Switches,Encoder,Plastic,Wireless,Glorious,Glorious,F-Switch,USD,,0.5,
Endgame Gear XM2w,79.99,Endgame,Gear XM2w,Medium,122,66,38.5,63,Symmetrical,Right,Back - moderate,Outward - slight,Inward - aggressive,No,No,PAW3395,Optical,Forward (56%),26000,1000,650,50,2,0,No,GM 8.0,Silver,Plastic,Wireless,PixArt,Kailh,TTC,USD,,0.5,
