Brand,Model,Name,Size,Length (mm),Width (mm),Height (mm),Weight (grams),Shape,Hand compatibility,Hump placement,Front flare,Side curvature,Thumb rest,Ring finger rest,Sensor,Sensor type,Sensor position,DPI,Polling rate (Hz),Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons,Hot-swap switches,Switches,Scroll wheel encoder,Material,Connectivity,Sensor brand,Switches brand,Scroll wheel encoder brand
VGN,R1 Nearlink,VGN R1 Nearlink,Medium,120.6,64.0,37.8,53.0,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395 SE,Optical,Centered (50%),18000.0,1000.0,400.0,40.0,2.0,0.0,No,Blue Shell White Dot,GE 2.0,Plastic,Wireless,PixArt,Huano,Kailh
Attack,Shark X8 Pro,Attack Shark X8 Pro,Large,125.5,63.0,40.0,55.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395 Pro,Optical,Forward (55%),40000.0,8000.0,700.0,60.0,2.0,0.0,No,D2FC-F-7N(100M),Green,Plastic,Wireless,PixArt,Omron,F-Switch
Attack,Shark X8 Plus,Attack Shark X8 Plus,Large,125.5,63.0,40.0,55.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395 Pro,Optical,Forward (55%),40000.0,1000.0,700.0,60.0,2.0,0.0,No,D2FC-F-7N(100M),Green,Plastic,Wireless,PixArt,Omron,F-Switch
Dareu,AE6,Dareu AE6,Large,126.0,63.5,40.0,59.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3950,Optical,Centered (50%),30000.0,8000.0,750.0,50.0,2.0,1.0,No,Optical,Mechanical Encoder,Plastic,Wireless,PixArt,Omron,Unspecified
Kysona,Jupiter Ultra,Kysona Jupiter Ultra,Large,127.5,64.3,40.0,47.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950,Optical,Forward (56%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC
Kysona,Jupiter Pro,Kysona Jupiter Pro,Large,127.5,64.3,40.0,49.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (56%),24000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Green Shell White Dot,Silver,Plastic,Wireless,PixArt,Huano,TTC
Pulsar,Xlite CrazyLight Mini,Pulsar Xlite CrazyLight Mini,Small,115.6,63.4,40.7,41.0,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,XS-1,Optical,Forward (56%),32000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical Switch,Gold,Plastic,Wireless,Pulsar,Pulsar,TTC
HyperX,Pulsefire Haste 2 S,HyperX Pulsefire Haste 2 S,Medium,124.2,66.8,38.2,64.0,Symmetrical,Right,Center,Flat,Flat,No,No,26K,Optical,Forward (54%),26000.0,1000.0,650.0,50.0,2.0,1.0,No,Switches,Silver,Magnesium (metal),Wireless,HyperX,HyperX,TTC
Delux,M800 Mini Ultra,Delux M800 Mini Ultra,Medium,118.3,62.0,38.7,46.5,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3950,Optical,Forward (54%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC
Delux,M800 Mini Pro,Delux M800 Mini Pro,Medium,118.3,62.0,38.7,46.5,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3395,Optical,Forward (54%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Dustproof Gold 80M,Gold,Plastic,Wireless,PixArt,TTC,TTC
Pulsar,X2F,Pulsar X2F,Fingertip,87.5,61.1,31.6,38.0,Symmetrical,Right,Center,Flat,Flat,No,No,XS-1,Optical,Backward (46%),32000.0,8000.0,750.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Blue Encoder,Plastic,Wireless,Pulsar,Huano,Pulsar
G-Wolves,VUK,G-Wolves VUK,Medium,124.8,64.6,38.1,34.5,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3950,Optical,Forward (60%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,Mechanical Switches,Mechanical Encoder,Plastic,Wireless,PixArt,Unspecified,Unspecified
ATK,U2 Ultimate,ATK U2 Ultimate,Medium,123.7,64.6,39.1,49.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950 Ultra,Optical,Centered (53%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC
ATK,U2 Ultra,ATK U2 Ultra,Medium,123.7,64.6,39.1,44.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950,Optical,Centered (53%),36000.0,8000.0,750.0,50.0,2.0,0.0,No,Transparent Pink Shell Pink Dot,E10A2,Plastic,Wireless,PixArt,Huano,F-Switch
ATK,U2 Pro Max,ATK U2 Pro Max,Medium,123.7,64.6,39.1,55.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395 Ultra,Optical,Centered (53%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Optical,E10A2,Plastic,Wireless,PixArt,Omron,F-Switch
ATK,U2 Pro,ATK U2 Pro,Medium,123.7,64.6,39.1,44.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395 Ultra,Optical,Centered (53%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Pink Shell Pink Dot,E10A2,Plastic,Wireless,PixArt,Huano,F-Switch
ATK,U2 Plus,ATK U2 Plus,Medium,123.7,64.6,39.1,55.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395 Ultra,Optical,Centered (53%),26000.0,1000.0,650.0,50.0,2.0,0.0,No,Transparent Pink Shell Pink Dot,E10A2,Plastic,Wireless,PixArt,Huano,F-Switch
ATK,U2,ATK U2,Medium,123.7,64.6,39.1,49.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395 SE,Optical,Centered (53%),26000.0,1000.0,400.0,40.0,2.0,0.0,No,Transparent Blue Shell Red Dot,E10A2,Plastic,Wireless,PixArt,Huano,F-Switch
ATK,U2 SE,ATK U2 SE,Medium,123.7,64.6,39.1,49.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395 SE,Optical,Centered (53%),26000.0,1000.0,400.0,40.0,2.0,0.0,No,Transparent Blue Shell Red Dot,E10A2,Plastic,Wireless,PixArt,Huano,F-Switch
Rapoo,VT7 Max,Rapoo VT7 Max,Large,127.4,64.3,39.8,53.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3950,Optical,-,30000.0,8000.0,750.0,50.0,2.0,2.0,No,Optical,Mechanical Encoder,Plastic,Wireless,PixArt,Rapoo,Unspecified
Rapoo,VT7,Rapoo VT7,Large,127.4,64.3,39.8,53.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3398,Optical,-,26000.0,8000.0,650.0,50.0,2.0,2.0,No,D2FC-F-7N(100M),Mechanical Encoder,Plastic,Wireless,PixArt,Omron,Unspecified
Endgame,Gear OP1 8k v2,Endgame Gear OP1 8k v2,Small,118.2,60.5,37.2,49.5,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3950,Optical,Forward (54%),30000.0,8000.0,750.0,50.0,2.0,0.0,Yes,GX,Black,Plastic,Wired,PixArt,Kailh,Kailh
Endgame,Gear OP1w 4k v2,Endgame Gear OP1w 4k v2,Small,118.2,60.5,37.2,58.5,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3950,Optical,Forward (54%),30000.0,4000.0,750.0,50.0,2.0,0.0,Yes,GX,Black,Plastic,Wireless,PixArt,Kailh,Kailh
Valkyrie,VK M1 Pro,Valkyrie VK M1 Pro,Medium,119.5,62.0,40.0,58.0,Symmetrical,Right,Center,Flat,Flat,No,No,PAW3950,Optical,-,42000.0,8000.0,750.0,50.0,2.0,0.0,No,Transparent Green Shell White Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified
Logitech,G Pro X Superlight 2 SE,Logitech G Pro X Superlight 2 SE,Large,125.0,63.5,40.0,60.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,HERO 2,Optical,Centered (53%),44000.0,1000.0,888.0,88.0,2.0,0.0,No,LIGHTFORCE,Silver,Plastic,Wireless,Logitech,Logitech,TTC
ATK,A9 Pro Max,ATK A9 Pro Max,Large,125.0,64.0,40.0,57.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395 Ultra,Optical,-,26000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Pink Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC
MCHOSE,K7 Ultra,MCHOSE K7 Ultra,Large,127.3,63.8,39.9,59.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950,Optical,Centered (52%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC
