Brand,Model,Name,Size,Length (mm),Width (mm),Height (mm),Weight (grams),Shape,Hand compatibility,Hump placement,Front flare,Side curvature,Thumb rest,Ring finger rest,Sensor,Sensor type,Sensor position,DPI,Polling rate (Hz),Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons,Hot-swap switches,Switches,Scroll wheel encoder,Material,Connectivity,Sensor brand,Switches brand,Scroll wheel encoder brand
Acer,Cestus 330,Acer Cestus 330,Large,124,64.3,41,153,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3335,Optical,Centered (51%),16000,1000,400,40,2,2,No,D2FC-F-7N(20M),Mechanical Encoder,Plastic,Wired,PixArt,Omron,Unspecified
Razer,Basilisk V3,Razer Basilisk V3,Large,130,75,42,101,Ergonomic,Right,Back - minimal,Flat,Flat,Yes,No,Focus+,Optical,Backward (46%),26000,1000,650,50,3,2,No,Optical Mouse Switches Gen-2,,Plastic,Wired,Razer,Razer,-
RAKK,Gahum,RAKK Gahum,Medium,124,66,38.5,58,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395,Optical,Centered (51%),26000,1000,650,50,2,0,No,Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC
AJAZZ,AJ199,AJAZZ AJ199,Medium,118,61.6,38.6,60,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3395,Optical,Forward (56%),26000,1000,650,50,2,1,No,Transparent Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC
Razer,Lancehead Wireless,Razer Lancehead Wireless,Medium,117,71,38,104,Symmetrical,Ambidextrous,Center,Outward - aggressive,Inward,No,No,5G,Optical,Centered (50%),16000,1000,450,50,2,2,No,Mechanical Mouse Switches,Mechanical Encoder,Plastic,Wireless,Razer,Razer,Unspecified
Razer,Lancehead,Razer Lancehead,Medium,117,71,38,111,Symmetrical,Ambidextrous,Center,Outward - aggressive,Inward,No,No,5G,Optical,Centered (50%),16000,1000,450,50,2,2,No,Mechanical Mouse Switches,Mechanical Encoder,Plastic,Wired,Razer,Razer,Unspecified
Darmoshark,N3,Darmoshark N3,Medium,123,66,40,61,Ergonomic,Right,Back - minimal,Outward - moderate,Flat,No,No,PAW3395,Optical,Centered (49%),26000,1000,650,50,2,2,No,GM 8.0,Gold,Plastic,Wireless,PixArt,Kailh,TTC
Teamwolf,Lurker MK-01,Teamwolf Lurker MK-01,Small,104,61,37,45,Symmetrical,Right,Back - minimal,Inward - aggressive,Flat,No,No,PMW3389,Optical,Centered (52%),16000,1000,400,50,2,1,No,D2FC-F-K(50M),Mechanical Encoder,Plastic,Wired,PixArt,Omron,Unspecified
Razer,Viper Mini Signature Edition,Razer Viper Mini Signature Edition,Medium,119,62,39,49,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,Focus Pro 30K,Optical,Centered (53%),30000,8000,750,70,2,0,No,Optical Mouse Switches Gen-3,Silver,Magnesium (metal),Wireless,Razer,Razer,RAESHA
Razer,Abyssus 2014,Razer Abyssus 2014,Small,117,64,38,80,Symmetrical,Ambidextrous,Back - minimal,Outward - slight,Inward,No,No,ADNS-3888,Optical,Centered (53%),3500,1000,120,15,0,0,No,D2FC-F-7N,Mechanical Encoder,Plastic,Wired,PixArt,Omron,Unspecified
Razer,Basilisk Ultimate,Razer Basilisk Ultimate,Large,130,75,42,107,Ergonomic,Right,Back - minimal,Flat,Flat,Yes,No,Focus+,Optical,Backward (46%),20000,1000,650,50,3,2,No,Optical Mouse Switches,,Plastic,Wireless,Razer,Razer,-
